GENESIS-Tabelle: 21111-9k21
Kommunalprofil: Schulen, Schüler/-innen,;;;;;;;;;;;;;;;;;;
Schulabgänger/-innen und Lehrkräfte an allgemeinbildende;;;;;;;;;;;;;;;;;;
Schulen;;;;;;;;;;;;;;;;;;
Statistik der allgemeinbildenden Schulen;;;;;;;;;;;;;;;;;;
;;;;;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform
;;;;;Insgesamt;Grundschulen;Hauptschulen;Volksschulen;Förderschulen Grund-/Hauptschulen;Förderschulen Realschulen/Gymnasien;Realschulen;PRIMUS-Schulen;Sekundarschulen;Gesamtschulen;Gemeinschaftsschulen;Freie Waldorfschulen;Gymnasien;Weiterbildungskollegs
Nordrhein-Westfalen;2022/23;Schulen;;Anzahl;5023;2794;164;1;482;2;373;5;115;362;1;57;624;43
Nordrhein-Westfalen;2021/22;Schulen;;Anzahl;5025;2787;174;1;478;2;379;5;114;358;1;58;623;45
Nordrhein-Westfalen;2020/21;Schulen;;Anzahl;5041;2786;186;1;477;2;387;5;116;352;1;58;623;47
Nordrhein-Westfalen;2019/20;Schulen;;Anzahl;5049;2783;196;1;472;2;393;5;114;346;7;58;624;48
Nordrhein-Westfalen;2018/19;Schulen;;Anzahl;5129;2781;243;1;476;2;429;5;114;340;7;57;625;49
Nordrhein-Westfalen;2017/18;Schulen;;Anzahl;5272;2787;318;1;485;2;487;5;113;334;8;57;625;50
Nordrhein-Westfalen;2016/17;Schulen;;Anzahl;5450;2812;403;1;502;2;538;5;117;327;8;56;626;53
Nordrhein-Westfalen;2015/16;Schulen;;Anzahl;5591;2845;456;1;550;2;559;5;114;314;10;55;625;55
Nordrhein-Westfalen;2014/15;Schulen;;Anzahl;5729;2882;493;1;625;2;563;5;109;306;10;53;625;55
Nordrhein-Westfalen;2013/14;Schulen;;Anzahl;5829;2944;535;1;668;2;566;1;84;281;12;53;627;55
Nordrhein-Westfalen;2012/13;Schulen;;Anzahl;5902;3028;575;1;691;2;564;-;42;252;12;53;627;55
Nordrhein-Westfalen;2011/12;Schulen;;Anzahl;5932;3086;608;1;693;2;564;-;-;232;12;52;627;55
Nordrhein-Westfalen;2010/11;Schulen;;Anzahl;6038;3173;640;1;701;2;563;-;-;225;-;52;626;55
Nordrhein-Westfalen;2009/10;Schulen;;Anzahl;6119;3223;671;1;704;2;559;-;-;221;-;52;630;56
Nordrhein-Westfalen;2008/09;Schulen;;Anzahl;6189;3266;703;2;706;2;557;-;-;218;-;50;629;56
Nordrhein-Westfalen;2007/08;Schulen;;Anzahl;6309;3368;718;2;708;2;557;-;-;218;-;50;630;56
Nordrhein-Westfalen;2006/07;Schulen;;Anzahl;6365;3421;725;2;712;2;555;-;-;217;-;49;627;55
Nordrhein-Westfalen;2005/06;Schulen;;Anzahl;6387;3442;730;2;709;2;555;-;-;217;-;49;626;55
Nordrhein-Westfalen;2022/23;Schüler/-innen;Insgesamt;Anzahl;1970040;688205;49140;245;83855;420;198975;2865;54465;351175;45;19285;506775;14600
Nordrhein-Westfalen;2021/22;Schüler/-innen;Insgesamt;Anzahl;1924265;657720;49040;265;81915;410;199565;2665;54240;343460;95;19165;499080;16640
Nordrhein-Westfalen;2020/21;Schüler/-innen;Insgesamt;Anzahl;1919595;647225;52410;280;80160;435;203010;2570;58620;335805;170;19105;501395;18410
Nordrhein-Westfalen;2019/20;Schüler/-innen;Insgesamt;Anzahl;1916925;641220;57205;290;79280;435;205115;2505;60805;326100;3255;18950;502585;19185
Nordrhein-Westfalen;2018/19;Schüler/-innen;Insgesamt;Anzahl;1925633;636863;62827;277;77481;443;210609;2338;60730;319587;3423;18751;511957;20347
Nordrhein-Westfalen;2017/18;Schüler/-innen;Insgesamt;Anzahl;1939667;638438;72066;272;76446;435;219990;2041;57877;307975;4184;18597;519798;21548
Nordrhein-Westfalen;2016/17;Schüler/-innen;Insgesamt;Anzahl;1953129;632693;87816;285;76448;435;235524;1650;50383;294749;4281;18388;527499;22978
Nordrhein-Westfalen;2015/16;Schüler/-innen;Insgesamt;Anzahl;1949541;619659;103267;310;77548;465;248542;1160;38831;279550;4779;18256;532522;24652
Nordrhein-Westfalen;2014/15;Schüler/-innen;Insgesamt;Anzahl;1971582;625122;118958;335;81263;487;263140;668;29192;266102;3855;18224;538862;25374
Nordrhein-Westfalen;2013/14;Schüler/-innen;Insgesamt;Anzahl;1998511;625354;139347;356;85308;500;281947;162;15951;254636;3384;18216;547331;26019
Nordrhein-Westfalen;2012/13;Schüler/-innen;Insgesamt;Anzahl;2077589;639687;158837;383;89285;522;298907;-;5342;245594;2263;18124;592403;26242
Nordrhein-Westfalen;2011/12;Schüler/-innen;Insgesamt;Anzahl;2118079;652445;175041;416;94012;520;308860;-;-;241131;1154;18278;598762;27460
Nordrhein-Westfalen;2010/11;Schüler/-innen;Insgesamt;Anzahl;2141284;662860;188055;432;97774;516;311045;-;-;238043;-;18313;596863;27383
Nordrhein-Westfalen;2009/10;Schüler/-innen;Insgesamt;Anzahl;2176849;680770;201525;450;99971;530;316411;-;-;234958;-;18218;596672;27344
Nordrhein-Westfalen;2008/09;Schüler/-innen;Insgesamt;Anzahl;2205718;695336;216643;516;100958;522;320895;-;-;232814;-;18255;593080;26699
Nordrhein-Westfalen;2007/08;Schüler/-innen;Insgesamt;Anzahl;2250322;721113;233271;548;101857;541;326413;-;-;232198;-;18149;589040;27192
Nordrhein-Westfalen;2006/07;Schüler/-innen;Insgesamt;Anzahl;2284486;742346;249701;641;102284;530;330439;-;-;232928;-;18216;579554;27847
Nordrhein-Westfalen;2005/06;Schüler/-innen;Insgesamt;Anzahl;2315552;757935;267156;751;102502;549;337697;-;-;233348;-;18147;569077;28390
Nordrhein-Westfalen;2021/22;Schulabgänger/-innen;Insgesamt;Anzahl;181980;-;10165;25;7715;50;33145;185;9925;49545;50;1555;65640;3980
Nordrhein-Westfalen;2020/21;Schulabgänger/-innen;Insgesamt;Anzahl;183600;-;11445;30;7070;80;34520;165;11145;45955;70;1480;67390;4245
Nordrhein-Westfalen;2019/20;Schulabgänger/-innen;Insgesamt;Anzahl;179795;-;11585;30;7010;70;33645;185;10145;43510;845;1490;66890;4390
Nordrhein-Westfalen;2018/19;Schulabgänger/-innen;Insgesamt;Anzahl;189155;-;14780;30;7410;75;37260;80;9405;43590;575;1590;69765;4595
Nordrhein-Westfalen;2017/18;Schulabgänger/-innen;Insgesamt;Anzahl;189198;-;19251;30;7476;81;40835;2;5918;38483;656;1500;70114;4852
Nordrhein-Westfalen;2016/17;Schulabgänger/-innen;Insgesamt;Anzahl;197235;-;24107;35;7784;71;47569;-;1823;38018;691;1464;69876;5797
Nordrhein-Westfalen;2015/16;Schulabgänger/-innen;Insgesamt;Anzahl;203053;-;27329;48;8207;90;47560;-;1360;37714;8;1405;72767;6565
Nordrhein-Westfalen;2014/15;Schulabgänger/-innen;Insgesamt;Anzahl;207106;-;29311;58;9219;90;49286;-;1281;35614;-;1458;73964;6825
Nordrhein-Westfalen;2013/14;Schulabgänger/-innen;Insgesamt;Anzahl;211083;-;32195;49;9198;73;50877;-;542;36109;-;1417;73657;6966
Nordrhein-Westfalen;2012/13;Schulabgänger/-innen;Insgesamt;Anzahl;255249;-;34612;60;8951;122;53320;-;203;35641;-;1378;113161;7801
Nordrhein-Westfalen;2011/12;Schulabgänger/-innen;Insgesamt;Anzahl;211443;-;34872;56;9101;82;50174;-;-;34886;-;1412;72989;7871
Nordrhein-Westfalen;2010/11;Schulabgänger/-innen;Insgesamt;Anzahl;208999;-;37558;53;9372;84;49696;-;-;34659;-;1421;68602;7554
Nordrhein-Westfalen;2009/10;Schulabgänger/-innen;Insgesamt;Anzahl;216151;-;41531;49;9847;83;52472;-;-;33949;-;1305;69809;7106
Nordrhein-Westfalen;2008/09;Schulabgänger/-innen;Insgesamt;Anzahl;219090;-;45547;65;10693;69;53427;-;-;33785;-;1666;66879;6959
Nordrhein-Westfalen;2007/08;Schulabgänger/-innen;Insgesamt;Anzahl;223452;-;48994;55;11033;83;55124;-;-;34709;-;1331;65366;6757
Nordrhein-Westfalen;2006/07;Schulabgänger/-innen;Insgesamt;Anzahl;223532;-;52568;84;11415;91;55533;-;-;34763;-;1384;60855;6839
Nordrhein-Westfalen;2005/06;Schulabgänger/-innen;Insgesamt;Anzahl;219039;-;52981;90;10760;100;53485;-;-;34611;-;1312;59332;6368
Nordrhein-Westfalen;2004/05;Schulabgänger/-innen;Insgesamt;Anzahl;213837;-;54027;57;10703;74;51943;-;-;33244;-;1292;56326;6171
Nordrhein-Westfalen;2022/23;Lehrkräfte;Insgesamt;Anzahl;185230;55730;5930;40;18995;115;15385;330;5950;34265;15;2055;45110;1315
Nordrhein-Westfalen;2021/22;Lehrkräfte;Insgesamt;Anzahl;181130;53385;6040;35;18655;115;15275;300;6005;32965;20;2025;44890;1420
Nordrhein-Westfalen;2020/21;Lehrkräfte;Insgesamt;Anzahl;178775;52030;6295;45;18450;120;15110;285;6230;31860;25;2030;44795;1505
Nordrhein-Westfalen;2019/20;Lehrkräfte;Insgesamt;Anzahl;177405;50860;6365;40;18230;125;15015;260;6185;30765;375;2025;45570;1595
Nordrhein-Westfalen;2018/19;Lehrkräfte;Insgesamt;Anzahl;172033;48262;6773;38;17727;123;14873;222;5789;28953;381;1984;45285;1623
Nordrhein-Westfalen;2017/18;Lehrkräfte;Insgesamt;Anzahl;170164;46606;7805;38;17708;123;15343;195;5280;27570;440;1966;45372;1718
Nordrhein-Westfalen;2016/17;Lehrkräfte;Insgesamt;Anzahl;168393;45526;9215;38;17894;124;15902;137;4486;25865;426;1926;45099;1755
Nordrhein-Westfalen;2015/16;Lehrkräfte;Insgesamt;Anzahl;167289;45017;10415;37;18574;133;16500;99;3473;24243;470;1866;44686;1776
Nordrhein-Westfalen;2014/15;Lehrkräfte;Insgesamt;Anzahl;167159;44425;11688;35;19330;134;17268;55;2581;22786;390;1863;44780;1824
Nordrhein-Westfalen;2013/14;Lehrkräfte;Insgesamt;Anzahl;169094;44321;13461;34;20187;130;18313;11;1416;21503;329;1851;45682;1856
Nordrhein-Westfalen;2012/13;Lehrkräfte;Insgesamt;Anzahl;172017;44229;15054;37;20259;126;19045;-;506;20852;231;1845;47933;1900
Nordrhein-Westfalen;2011/12;Lehrkräfte;Insgesamt;Anzahl;170281;43982;16248;34;19930;118;19388;-;-;20072;113;1829;46697;1870
Nordrhein-Westfalen;2010/11;Lehrkräfte;Insgesamt;Anzahl;170287;44829;17058;35;19673;116;19576;-;-;19684;-;1794;45696;1826
Nordrhein-Westfalen;2009/10;Lehrkräfte;Insgesamt;Anzahl;167517;45178;17789;36;19473;115;19286;-;-;18872;-;1796;43162;1810
Nordrhein-Westfalen;2008/09;Lehrkräfte;Insgesamt;Anzahl;164806;44965;18349;43;19236;113;19032;-;-;18538;-;1754;40975;1801
Nordrhein-Westfalen;2007/08;Lehrkräfte;Insgesamt;Anzahl;163979;44418;19437;43;19118;111;19022;-;-;18512;-;1729;39778;1811
Nordrhein-Westfalen;2006/07;Lehrkräfte;Insgesamt;Anzahl;164043;43984;20590;46;19032;111;19355;-;-;18510;-;1689;38962;1764
Nordrhein-Westfalen;2005/06;Lehrkräfte;Insgesamt;Anzahl;159499;42507;20404;51;18540;109;19399;-;-;18049;-;1685;37062;1693
  Düsseldorf, Regierungsbezirk;2022/23;Schulen;Insgesamt;Anzahl;1342;773;33;1;115;-;92;1;16;114;-;15;169;13
  Düsseldorf, Regierungsbezirk;2021/22;Schulen;Insgesamt;Anzahl;1342;770;35;1;114;-;93;1;16;114;-;15;169;14
  Düsseldorf, Regierungsbezirk;2020/21;Schulen;Insgesamt;Anzahl;1346;770;39;1;114;-;95;1;16;112;-;15;169;14
  Düsseldorf, Regierungsbezirk;2019/20;Schulen;Insgesamt;Anzahl;1352;772;42;1;113;-;96;1;17;109;1;15;170;15
  Düsseldorf, Regierungsbezirk;2018/19;Schulen;Insgesamt;Anzahl;1366;773;51;1;112;-;105;1;17;106;1;14;170;15
  Düsseldorf, Regierungsbezirk;2017/18;Schulen;Insgesamt;Anzahl;1388;773;63;1;113;-;114;1;18;104;1;14;171;15
  Düsseldorf, Regierungsbezirk;2016/17;Schulen;Insgesamt;Anzahl;1419;779;80;1;115;-;120;1;20;102;1;14;170;16
  Düsseldorf, Regierungsbezirk;2015/16;Schulen;Insgesamt;Anzahl;1460;789;98;1;126;-;125;1;21;98;1;14;169;17
  Düsseldorf, Regierungsbezirk;2014/15;Schulen;Insgesamt;Anzahl;1510;799;112;1;153;-;128;1;21;95;1;13;169;17
  Düsseldorf, Regierungsbezirk;2013/14;Schulen;Insgesamt;Anzahl;1535;812;123;1;165;-;130;-;16;88;1;13;169;17
  Düsseldorf, Regierungsbezirk;2012/13;Schulen;Insgesamt;Anzahl;1554;827;134;1;173;-;129;-;8;82;1;13;169;17
  Düsseldorf, Regierungsbezirk;2011/12;Schulen;Insgesamt;Anzahl;1566;837;144;1;173;-;131;-;-;80;1;13;169;17
  Düsseldorf, Regierungsbezirk;2010/11;Schulen;Insgesamt;Anzahl;1600;860;154;1;177;-;131;-;-;78;-;13;169;17
  Düsseldorf, Regierungsbezirk;2009/10;Schulen;Insgesamt;Anzahl;1628;875;165;1;177;-;130;-;-;78;-;13;171;18
  Düsseldorf, Regierungsbezirk;2008/09;Schulen;Insgesamt;Anzahl;1653;889;175;1;178;-;130;-;-;78;-;13;171;18
  Düsseldorf, Regierungsbezirk;2007/08;Schulen;Insgesamt;Anzahl;1683;916;178;1;178;-;130;-;-;78;-;13;171;18
  Düsseldorf, Regierungsbezirk;2006/07;Schulen;Insgesamt;Anzahl;1700;934;180;1;178;-;129;-;-;77;-;12;171;18
  Düsseldorf, Regierungsbezirk;2005/06;Schulen;Insgesamt;Anzahl;1712;944;180;1;179;-;129;-;-;77;-;12;172;18
  Düsseldorf, Regierungsbezirk;2022/23;Schüler/-innen;Insgesamt;Anzahl;566000;198905;10430;245;24580;-;52390;400;7070;116870;-;5565;146270;3270
  Düsseldorf, Regierungsbezirk;2021/22;Schüler/-innen;Insgesamt;Anzahl;551955;189450;10585;265;23795;-;52725;360;7415;114440;-;5380;143520;4015
  Düsseldorf, Regierungsbezirk;2020/21;Schüler/-innen;Insgesamt;Anzahl;548840;186250;11290;280;23115;-;53770;335;8105;112320;-;5310;143485;4580
  Düsseldorf, Regierungsbezirk;2019/20;Schüler/-innen;Insgesamt;Anzahl;546105;184455;12645;290;22740;-;53945;330;9540;108015;1035;5315;142840;4955
  Düsseldorf, Regierungsbezirk;2018/19;Schüler/-innen;Insgesamt;Anzahl;546181;182975;14319;277;21994;-;55363;341;9506;105643;1008;5198;144415;5142
  Düsseldorf, Regierungsbezirk;2017/18;Schüler/-innen;Insgesamt;Anzahl;547615;182916;16677;272;21619;-;57324;288;9256;101886;1004;5152;146047;5174
  Düsseldorf, Regierungsbezirk;2016/17;Schüler/-innen;Insgesamt;Anzahl;547541;180240;20485;285;21414;-;60220;223;8688;97673;938;5076;146668;5631
  Düsseldorf, Regierungsbezirk;2015/16;Schüler/-innen;Insgesamt;Anzahl;543734;175627;24478;310;21506;-;62342;157;6902;93745;797;5048;146748;6074
  Düsseldorf, Regierungsbezirk;2014/15;Schüler/-innen;Insgesamt;Anzahl;547329;176202;28634;335;22289;-;64731;76;4959;90332;653;5057;147779;6282
  Düsseldorf, Regierungsbezirk;2013/14;Schüler/-innen;Insgesamt;Anzahl;552946;175437;33388;356;23562;-;68161;-;2897;87661;485;5095;149476;6428
  Düsseldorf, Regierungsbezirk;2012/13;Schüler/-innen;Insgesamt;Anzahl;573395;178356;38749;383;24530;-;71622;-;916;85705;322;5008;161221;6583
  Düsseldorf, Regierungsbezirk;2011/12;Schüler/-innen;Insgesamt;Anzahl;584032;181291;42760;416;25612;-;73761;-;-;85243;157;5046;162850;6896
  Düsseldorf, Regierungsbezirk;2010/11;Schüler/-innen;Insgesamt;Anzahl;589508;182870;46480;432;26323;-;74197;-;-;84317;-;5095;162926;6868
  Düsseldorf, Regierungsbezirk;2009/10;Schüler/-innen;Insgesamt;Anzahl;598112;186328;50352;450;26808;-;75652;-;-;83414;-;5066;163347;6695
  Düsseldorf, Regierungsbezirk;2008/09;Schüler/-innen;Insgesamt;Anzahl;606535;189896;54767;464;26996;-;77681;-;-;82490;-;5011;162756;6474
  Düsseldorf, Regierungsbezirk;2007/08;Schüler/-innen;Insgesamt;Anzahl;619060;196142;59470;462;27393;-;79836;-;-;81948;-;4974;162268;6567
  Düsseldorf, Regierungsbezirk;2006/07;Schüler/-innen;Insgesamt;Anzahl;630246;202605;63994;471;27637;-;81329;-;-;82330;-;4999;160121;6760
  Düsseldorf, Regierungsbezirk;2005/06;Schüler/-innen;Insgesamt;Anzahl;639674;207167;68341;461;27799;-;83834;-;-;82591;-;4886;157413;7182
  Düsseldorf, Regierungsbezirk;2021/22;Schulabgänger/-innen;Insgesamt;Anzahl;50520;-;2165;25;2290;-;8720;-;1500;16185;-;385;18345;905
  Düsseldorf, Regierungsbezirk;2020/21;Schulabgänger/-innen;Insgesamt;Anzahl;50795;-;2480;30;2080;-;9250;-;1630;15335;-;415;18640;940
  Düsseldorf, Regierungsbezirk;2019/20;Schulabgänger/-innen;Insgesamt;Anzahl;49140;-;2545;30;2075;-;8700;-;1555;14145;395;420;18430;850
  Düsseldorf, Regierungsbezirk;2018/19;Schulabgänger/-innen;Insgesamt;Anzahl;51105;-;3390;30;2130;-;9705;-;1380;14360;100;435;18595;985
  Düsseldorf, Regierungsbezirk;2017/18;Schulabgänger/-innen;Insgesamt;Anzahl;50912;-;4397;30;2101;-;10218;-;777;12799;100;397;18905;1188
  Düsseldorf, Regierungsbezirk;2016/17;Schulabgänger/-innen;Insgesamt;Anzahl;53114;-;5576;35;2131;-;11407;-;127;13382;92;409;18636;1319
  Düsseldorf, Regierungsbezirk;2015/16;Schulabgänger/-innen;Insgesamt;Anzahl;54727;-;6461;48;2260;-;11408;-;46;13281;-;395;19259;1569
  Düsseldorf, Regierungsbezirk;2014/15;Schulabgänger/-innen;Insgesamt;Anzahl;56023;-;7146;58;2446;-;11707;-;29;12548;-;452;19875;1762
  Düsseldorf, Regierungsbezirk;2013/14;Schulabgänger/-innen;Insgesamt;Anzahl;56975;-;7897;49;2694;-;11852;-;56;12808;-;368;19657;1594
  Düsseldorf, Regierungsbezirk;2012/13;Schulabgänger/-innen;Insgesamt;Anzahl;69575;-;8824;60;2510;-;12635;-;-;12567;-;386;30631;1962
  Düsseldorf, Regierungsbezirk;2011/12;Schulabgänger/-innen;Insgesamt;Anzahl;57734;-;8814;56;2501;-;12059;-;-;12303;-;411;19639;1951
  Düsseldorf, Regierungsbezirk;2010/11;Schulabgänger/-innen;Insgesamt;Anzahl;57033;-;9651;53;2539;-;11832;-;-;12106;-;415;18560;1877
  Düsseldorf, Regierungsbezirk;2009/10;Schulabgänger/-innen;Insgesamt;Anzahl;59333;-;10786;49;2706;-;12698;-;-;11984;-;396;18983;1731
  Düsseldorf, Regierungsbezirk;2008/09;Schulabgänger/-innen;Insgesamt;Anzahl;60262;-;11847;58;2901;-;13183;-;-;11950;-;433;18204;1686
  Düsseldorf, Regierungsbezirk;2007/08;Schulabgänger/-innen;Insgesamt;Anzahl;61133;-;12529;55;3029;-;13609;-;-;12094;-;372;17719;1726
  Düsseldorf, Regierungsbezirk;2006/07;Schulabgänger/-innen;Insgesamt;Anzahl;61834;-;13536;55;3208;-;13878;-;-;12489;-;408;16548;1712
  Düsseldorf, Regierungsbezirk;2005/06;Schulabgänger/-innen;Insgesamt;Anzahl;60570;-;13308;61;2975;-;13584;-;-;12539;-;349;16152;1602
  Düsseldorf, Regierungsbezirk;2004/05;Schulabgänger/-innen;Insgesamt;Anzahl;58863;-;13818;57;2920;-;13056;-;-;11844;-;331;15204;1633
  Düsseldorf, Regierungsbezirk;2022/23;Lehrkräfte;Insgesamt;Anzahl;51795;15925;1205;40;5295;-;4020;35;755;11030;-;560;12645;285
  Düsseldorf, Regierungsbezirk;2021/22;Lehrkräfte;Insgesamt;Anzahl;50570;15250;1220;35;5190;-;3955;25;800;10660;-;570;12545;315
  Düsseldorf, Regierungsbezirk;2020/21;Lehrkräfte;Insgesamt;Anzahl;49810;14785;1285;45;5170;-;3885;25;845;10365;-;565;12505;335
  Düsseldorf, Regierungsbezirk;2019/20;Lehrkräfte;Insgesamt;Anzahl;49110;14365;1335;40;5105;-;3810;20;935;9830;100;570;12650;355
  Düsseldorf, Regierungsbezirk;2018/19;Lehrkräfte;Insgesamt;Anzahl;47544;13612;1468;38;4923;-;3775;22;865;9383;102;553;12450;353
  Düsseldorf, Regierungsbezirk;2017/18;Lehrkräfte;Insgesamt;Anzahl;46652;12985;1753;38;4908;-;3863;19;768;8893;94;528;12431;372
  Düsseldorf, Regierungsbezirk;2016/17;Lehrkräfte;Insgesamt;Anzahl;46249;12735;2090;38;4951;-;3936;11;712;8474;85;522;12303;392
  Düsseldorf, Regierungsbezirk;2015/16;Lehrkräfte;Insgesamt;Anzahl;45914;12597;2420;37;5145;-;4056;10;569;8039;75;499;12073;394
  Düsseldorf, Regierungsbezirk;2014/15;Lehrkräfte;Insgesamt;Anzahl;45777;12312;2800;35;5267;-;4143;7;437;7705;65;491;12101;414
  Düsseldorf, Regierungsbezirk;2013/14;Lehrkräfte;Insgesamt;Anzahl;46522;12266;3259;34;5500;-;4386;-;274;7417;46;483;12421;436
  Düsseldorf, Regierungsbezirk;2012/13;Lehrkräfte;Insgesamt;Anzahl;47381;12172;3741;37;5508;-;4517;-;109;7273;34;481;13061;448
  Düsseldorf, Regierungsbezirk;2011/12;Lehrkräfte;Insgesamt;Anzahl;46933;12096;4065;34;5353;-;4665;-;-;7048;11;488;12732;441
  Düsseldorf, Regierungsbezirk;2010/11;Lehrkräfte;Insgesamt;Anzahl;46751;12323;4219;35;5251;-;4679;-;-;6926;-;481;12401;436
  Düsseldorf, Regierungsbezirk;2009/10;Lehrkräfte;Insgesamt;Anzahl;46057;12433;4404;36;5254;-;4693;-;-;6571;-;488;11759;419
  Düsseldorf, Regierungsbezirk;2008/09;Lehrkräfte;Insgesamt;Anzahl;45442;12357;4620;35;5164;-;4660;-;-;6457;-;487;11247;415
  Düsseldorf, Regierungsbezirk;2007/08;Lehrkräfte;Insgesamt;Anzahl;45221;12187;4837;33;5136;-;4686;-;-;6444;-;486;10986;426
  Düsseldorf, Regierungsbezirk;2006/07;Lehrkräfte;Insgesamt;Anzahl;45473;12115;5102;31;5188;-;4828;-;-;6499;-;454;10809;447
  Düsseldorf, Regierungsbezirk;2005/06;Lehrkräfte;Insgesamt;Anzahl;44164;11698;5043;31;5062;-;4860;-;-;6339;-;450;10252;429
    Düsseldorf, krfr. Stadt;2022/23;Schulen;Insgesamt;Anzahl;157;89;7;-;14;-;13;-;-;8;-;1;23;2
    Düsseldorf, krfr. Stadt;2021/22;Schulen;Insgesamt;Anzahl;157;89;7;-;14;-;13;-;-;8;-;1;23;2
    Düsseldorf, krfr. Stadt;2020/21;Schulen;Insgesamt;Anzahl;158;89;8;-;14;-;13;-;-;8;-;1;23;2
    Düsseldorf, krfr. Stadt;2019/20;Schulen;Insgesamt;Anzahl;159;89;8;-;14;-;13;-;-;8;-;1;23;3
    Düsseldorf, krfr. Stadt;2018/19;Schulen;Insgesamt;Anzahl;158;88;8;-;14;-;13;-;-;8;-;1;23;3
    Düsseldorf, krfr. Stadt;2017/18;Schulen;Insgesamt;Anzahl;159;88;9;-;14;-;13;-;-;8;-;1;23;3
    Düsseldorf, krfr. Stadt;2016/17;Schulen;Insgesamt;Anzahl;158;88;9;-;14;-;13;-;-;8;-;1;22;3
    Düsseldorf, krfr. Stadt;2015/16;Schulen;Insgesamt;Anzahl;157;88;10;-;14;-;13;-;-;7;-;1;21;3
    Düsseldorf, krfr. Stadt;2014/15;Schulen;Insgesamt;Anzahl;163;88;10;-;20;-;13;-;1;6;-;1;21;3
    Düsseldorf, krfr. Stadt;2013/14;Schulen;Insgesamt;Anzahl;164;88;10;-;21;-;13;-;1;6;-;1;21;3
    Düsseldorf, krfr. Stadt;2012/13;Schulen;Insgesamt;Anzahl;165;88;12;-;21;-;13;-;-;6;-;1;21;3
    Düsseldorf, krfr. Stadt;2011/12;Schulen;Insgesamt;Anzahl;167;88;14;-;21;-;13;-;-;6;-;1;21;3
    Düsseldorf, krfr. Stadt;2010/11;Schulen;Insgesamt;Anzahl;169;89;14;-;21;-;13;-;-;6;-;2;21;3
    Düsseldorf, krfr. Stadt;2009/10;Schulen;Insgesamt;Anzahl;169;89;14;-;21;-;13;-;-;6;-;2;21;3
    Düsseldorf, krfr. Stadt;2008/09;Schulen;Insgesamt;Anzahl;170;90;14;-;21;-;13;-;-;6;-;2;21;3
    Düsseldorf, krfr. Stadt;2007/08;Schulen;Insgesamt;Anzahl;171;91;14;-;21;-;13;-;-;6;-;2;21;3
    Düsseldorf, krfr. Stadt;2006/07;Schulen;Insgesamt;Anzahl;171;92;14;-;21;-;13;-;-;6;-;1;21;3
    Düsseldorf, krfr. Stadt;2005/06;Schulen;Insgesamt;Anzahl;172;93;14;-;21;-;13;-;-;6;-;1;21;3
    Düsseldorf, krfr. Stadt;2022/23;Schüler/-innen;Insgesamt;Anzahl;64410;22925;2260;-;2900;-;7315;-;-;7005;-;505;20930;570
    Düsseldorf, krfr. Stadt;2021/22;Schüler/-innen;Insgesamt;Anzahl;62575;21895;2235;-;2845;-;7215;-;-;6915;-;495;20280;690
    Düsseldorf, krfr. Stadt;2020/21;Schüler/-innen;Insgesamt;Anzahl;62190;21775;2335;-;2785;-;7355;-;-;6845;-;495;19870;725
    Düsseldorf, krfr. Stadt;2019/20;Schüler/-innen;Insgesamt;Anzahl;61930;21860;2560;-;2765;-;7325;-;-;6680;-;520;19350;870
    Düsseldorf, krfr. Stadt;2018/19;Schüler/-innen;Insgesamt;Anzahl;61243;21619;2640;-;2681;-;7271;-;-;6565;-;483;19128;856
    Düsseldorf, krfr. Stadt;2017/18;Schüler/-innen;Insgesamt;Anzahl;60977;21634;2727;-;2734;-;7179;-;-;6346;-;486;18926;945
    Düsseldorf, krfr. Stadt;2016/17;Schüler/-innen;Insgesamt;Anzahl;60358;21225;2967;-;2765;-;7191;-;-;6198;-;496;18563;953
    Düsseldorf, krfr. Stadt;2015/16;Schüler/-innen;Insgesamt;Anzahl;58921;20354;3184;-;2815;-;6927;-;-;5791;-;510;18297;1043
    Düsseldorf, krfr. Stadt;2014/15;Schüler/-innen;Insgesamt;Anzahl;58327;20059;3104;-;2920;-;6843;-;177;5428;-;532;18261;1003
    Düsseldorf, krfr. Stadt;2013/14;Schüler/-innen;Insgesamt;Anzahl;57883;19337;3275;-;3131;-;6755;-;99;5393;-;530;18313;1050
    Düsseldorf, krfr. Stadt;2012/13;Schüler/-innen;Insgesamt;Anzahl;59011;19167;3432;-;3229;-;6718;-;-;5431;-;510;19425;1099
    Düsseldorf, krfr. Stadt;2011/12;Schüler/-innen;Insgesamt;Anzahl;59046;18948;3689;-;3385;-;6627;-;-;5522;-;478;19290;1107
    Düsseldorf, krfr. Stadt;2010/11;Schüler/-innen;Insgesamt;Anzahl;58525;18420;3846;-;3398;-;6527;-;-;5409;-;619;19167;1139
    Düsseldorf, krfr. Stadt;2009/10;Schüler/-innen;Insgesamt;Anzahl;58177;18271;4072;-;3380;-;6568;-;-;5243;-;573;19001;1069
    Düsseldorf, krfr. Stadt;2008/09;Schüler/-innen;Insgesamt;Anzahl;57951;18150;4431;-;3344;-;6650;-;-;5086;-;540;18689;1061
