Schulnummer,Schulname,Schulform,Adresse,PLZ,Gemeinde,lat,lon,source
109447,"Duisburg, GG Bergheimer Str.",Grundschule,"Bergheimer Str., Bergheimer Str. 167",47228,Duisburg,51.421818607147735,6.697796192845469,ogc-api-nrw
109459,"Duisburg, GG Krefelder Str.",Grundschule,"Krefelder Str., Krefelder Str. 47",47226,Duisburg,51.40810132999228,6.715137773610506,ogc-api-nrw
109472,"Xanten, GG (Verb.) Viktor-Schule",Grundschule,"Sonsbecker Str., Sonsbecker Str. 1",46509,Xanten,51.65776268383646,6.446693388661538,ogc-api-nrw
109502,"Xanten, KG Hagelkreuzschule",Grundschule,"Pantaleonstr., Pantaleonstr. 13",46509,Xanten,51.67471999118969,6.45933667420166,ogc-api-nrw
109526,"Rheinberg, GG Schule am Deich",Grundschule,"Gathstr., Gathstr. 10",47495,Rheinberg,51.59591493054053,6.572139786277631,ogc-api-nrw
109538,"Rheinberg, GG (Verb.) am Rheinbogen",Grundschule,"Rheinkamper Str., Rheinkamper Str. 27",47495,Rheinberg,51.5299268945028,6.6371498480003615,ogc-api-nrw
109551,"Wesel,GG Polderdorfschule Büder.-Ginder.",Grundschule,"Schulstr., Schulstr. 2",46487,Wesel,51.629034859031385,6.575486626970861,ogc-api-nrw
109575,"Moers, GG Dorsterfeld",Grundschule,"Kurt-Tucholsky-Str., Kurt-Tucholsky-Str. 8",47447,Moers,51.42015320117606,6.589941191800686,ogc-api-nrw
109630,"Neukirchen-Vluyn, GG Gerhard-Tersteegen",Grundschule,"Jahnstr., Jahnstr. 27",47506,Neukirchen-Vluyn,51.450032258465114,6.571757162893936,ogc-api-nrw
109642,"Neukirchen-Vluyn, GG Pestalozzi",Grundschule,"Waldmannsweg, Waldmannsweg 30",47506,Neukirchen-Vluyn,51.440542556143235,6.526541174366654,ogc-api-nrw
109654,"Moers, GG (Verb.) Lindenschule",Grundschule,"Johann-Steegmann-Allee, Johann-Steegmann-Allee 5",47445,Moers,51.49073914032927,6.605956042358071,ogc-api-nrw
109678,"Moers, GG (Verb.) Eick",Grundschule,"Eicker Grund, Eicker Grund 86-88",47445,Moers,51.48138484065432,6.6280225711767375,ogc-api-nrw
109680,"Moers, GG Meerbeck",Grundschule,"Bismarckstr., Bismarckstr. 36",47443,Moers,51.46548895002376,6.646989299109062,ogc-api-nrw
109733,"Duisburg, EG Baerler Waldschule",Grundschule,"Waldstr., Waldstr. 3h",47199,Duisburg,51.48931539988767,6.669186349439897,ogc-api-nrw
109745,"Duisburg, GG Gerhart-Hauptmann",Grundschule,"Breslauer Str., Breslauer Str. 1",47239,Duisburg,51.39440013455003,6.677882585611272,ogc-api-nrw
109757,"Duisburg, GG Marienfeld",Grundschule,"Kirchstr., Kirchstr. 12",47239,Duisburg,51.40169012709579,6.661869651523731,ogc-api-nrw
109769,"Duisburg, GG Donkschule",Grundschule,"Gartenstr., Gartenstr. 13",47239,Duisburg,51.39351363248231,6.651461746776567,ogc-api-nrw
109770,"Alpen, GG Zum Wald",Grundschule,"Zum Wald, Zum Wald 16",46519,Alpen,51.57302705401905,6.509105780705791,ogc-api-nrw
109782,"Alpen, GG (Verb) Wilhelm-Koppers-Schule",Grundschule,"Ringstr., Ringstr. 92",46519,Alpen,51.61537604396361,6.53159093128029,ogc-api-nrw
109824,"Sonsbeck, GG Johann-Hinrich-Wichern",Grundschule,"Taubenweg, Taubenweg 47",47665,Sonsbeck,51.607111229018194,6.381824959354713,ogc-api-nrw
109848,"Rheurdt, GG (Verb.) Martinusschule",Grundschule,"Meistersweg, Meistersweg 6",47509,Rheurdt,51.469093307920474,6.466561911207361,ogc-api-nrw
109850,"Emmerich am Rhein, GG Rheinschule",Grundschule,"Hinter dem Mühlenberg, Hinter dem Mühlenberg 1",46446,Emmerich am Rhein,51.831464773312035,6.236471039133239,ogc-api-nrw
109861,"Emmerich am Rhein, KG Liebfrauenschule",Grundschule,"Speelberger Str., Speelberger Str. 215",46446,Emmerich am Rhein,51.84871102815005,6.256281682595178,ogc-api-nrw
109873,"Emmerich am Rhein, GG Michaelschule",Grundschule,"Sulenstr., Sulenstr. 46-48",46446,Emmerich am Rhein,51.823178652205264,6.346393845974308,ogc-api-nrw
